テーブル名,元となるDriveファイル,どういうテーブルか,生成ロジック
dwh_sales_actual,1_全支店[1.売上管理] 担当者売上目標／実績データ.xlsx,月次の売上高と粗利実績を組織・担当者別に集計,売上計上期間で実績データをフィルタし組織・担当者別に売上高・粗利を集計
dwh_sales_actual_prev_year,1_全支店[1.売上管理] 担当者売上目標／実績データ.xlsx,前年同月の売上高と粗利実績を組織・担当者別に集計,前年実績カラムで前月の1年前データを抽出し組織・担当者別に集計
dwh_sales_target,12_損益5期目標.xlsx,月次の売上高と粗利目標を組織・担当者別に集計,横持ちの利益計画を縦持ちに変換し売上・粗利目標を拡張
operating_expenses,6_部門集計表_202509.xlsx,月次の営業経費を集計グループ別に集計,部門コードで営業経費を特定グループ別に合計
non_operating_income,4_元帳_雑収入.xlsx,月次の営業外収入（リベート・その他）を集計,部門コードと説明でリベート収入とその他収入を分離集計
non_operating_expenses,"3_請求残高一覧表（月間）.xlsx, 7_社内金利計算表.xlsx, 6_部門集計表_202509.xlsx",月次の営業外費用（社内利息）を集計,売掛残高と利率から社内利息を計算し部門別に集計
miscellaneous_loss,16_元帳_雑損失.xlsx,月次の営業外費用（雑損失）を集計グループ別に集計,部門コード別に雑損失を抽出し各グループで合計
head_office_expenses,6_部門集計表_202509.xlsx,月次の本店管理費を集計グループ別に集計,コード8366の本店管理費を部門別に抽出し合計
dwh_recurring_profit_target,12_損益5期目標.xlsx,月次の経常利益目標を組織・担当者別に集計,横持ちの利益計画を縦持ちに変換し経常利益目標を拡張
operating_expenses_target,12_損益5期目標.xlsx,月次の営業経費目標を組織・担当者別に集計,横持ちの利益計画を縦持ちに変換し営業経費目標を拡張
operating_income_target,12_損益5期目標.xlsx,月次の営業利益目標を組織・担当者別に集計,横持ちの利益計画を縦持ちに変換し営業利益目標を拡張
